שם ספק,דגם,HomMe ITEM NUMBER,MAIN PICTURE,OTHER PICTURES,COLORS,MATERIAL,PRODUCT NAME,Descreption,Size,COST,Cost+VIT,price shekel,price -10%,Price
GUBER,FIRENZE,BR15,BR15,BR15A,,מלמין/MDF,GUBER FIRENZE,סט מלא לחדר שינה,,2150,2516,3522,,3522
GUBER,RENUAR,BR16,BR16,BR16A,,מלמין/MDF,GUBER RENUAR,סט מלא לחדר שינה,,1890,2211,3096,,3096
GUBER,TULIP,BR17,BR17,BR17A,,מלמין/MDF,GUBER TULIP,סט מלא לחדר שינה,,2150,2516,3522,,3522
GUBER,ALASKA,BR18,BR18,BR18A,,מלמין/MDF,GUBER ALASKA,סט מלא לחדר שינה,,2150,2516,3522,,3522
GUBER,NAPOLI,BR19,BR19,BR19A,,מלמין/MDF,GUBER NAPOLI,סט מלא לחדר שינה,,2050,2399,3358,,3358
GUBER,CALIFORNIA,BR20,BR20,BR20A,,מלמין/MDF,GUBER CALIFORNIA,סט מלא לחדר שינה,,1730,2024,2834,,2834
GUBER,SOFIA,BR21,BR21,BR21A,,מלמין/MDF,GUBER SOFIA,סט מלא לחדר שינה,,2050,2399,3358,,3358
GUBER,TORONTO,BR22,BR22,BR22A,,מלמין/MDF,GUBER TORONTO,סט מלא לחדר שינה,,3010,3522,4930,,4930
GUBER,MOSKVA,BR23,BR23,BR23A,,מלמין/MDF,GUBER MOSKVA,סט מלא לחדר שינה,,2510,2937,4111,,4111
GUBER,TOSCANA,BR24,BR24,BR24A,,מלמין/MDF,GUBER TOSCANA,סט מלא לחדר שינה,,2750,3218,4505,,4505
GUBER,TRIPOLI,BR25,BR25,BR25A,,מלמין/MDF,GUBER TRIPOLI,סט מלא לחדר שינה,,1930,2258,3161,,3161
GUBER,BERLIN,BR26,BR26,BR26A,,מלמין/MDF,GUBER BERLIN,סט מלא לחדר שינה,,1840,2153,3014,,3014
GUBER,BRUSSEL,BR27,BR27,BR27A,,מלמין/MDF,GUBER BRUSSEL,סט מלא לחדר שינה,,1940,2270,3178,,3178
GUBER,MONACO,BR28,BR28,BR28A,,מלמין/MDF,GUBER MONACO,סט מלא לחדר שינה,,1820,2129,2981,,2981
GUBER,PANAMA,BR29,BR29,BR29A,,מלמין/MDF,GUBER PANAMA,סט מלא לחדר שינה,,1820,2129,2981,,2981
GUBER,ROME,BR30,BR30,BR30A,,מלמין/MDF,GUBER ROME,סט מלא לחדר שינה,,2120,2480,3473,,3473
GUBER,GOLD,BR31,BR31,BR31A,,מלמין/MDF,GUBER GOLD,סט מלא לחדר שינה,,1730,2024,2834,,2834
GUBER,PLATINUM,BR32,BR32,BR32A,,מלמין/MDF,GUBER PLATINUM,סט מלא לחדר שינה,,1570,1837,2572,,2572
GUBER,MEXICO,BR33,BR33,BR33A,,מלמין/MDF,GUBER MEXICO,סט מלא לחדר שינה,,1240,1451,2031,,2031
GUBER,LONDON,BR34,BR34,BR34A,,מלמין/MDF,GUBER LONDON,סט מלא לחדר שינה,,1130,1322,1851,,1851
GUBER,STAR,BR35,BR35,BR35A,,מלמין/MDF,GUBER STAR,סט מלא לחדר שינה,,2090,2445,3423,,3423
GUBER,NEVADA,BR36,BR36,BR36A,,מלמין/MDF,GUBER NEVADA,סט מלא לחדר שינה,,2690,3147,4406,,4406
GUBER,MADRID,BR37,BR37,BR37A,,מלמין/MDF,GUBER MADRID,סט מלא לחדר שינה,,2090,2445,3423,,3423
