No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
21,פינות אוכל,DINING CHAIR,,,,,,,STEEL-ARTS,SA,,,,,8,C4808/DINING CHAIR,S-SDTSA19,SDTSA20,,SDTSA19,,,"PU, SOLID WOOD",DINING CHAIR - SDTSA20,,,L500D590H490/870MM,0.362/MOQ:100PCS,,,,,,,,,,69,1.5,,,,,,,,103.5,3.5,,,242,17%,283,2.5,706,,,,2.2,622,,339,54.5%,,,,
22,פינות אוכל,SIDEBOARD,,,,,,,STEEL-ARTS,SA,,,,,8,K5809/SIDEBOARD,,SDTSA21,,SDTSA21,,,"CERAMIC, IRON COARING",SIDEBOARD - SDTSA21,,,L1800D450H800MM,0.7/MOQ:10PCS,,,,,,,,,,726,1.5,,,,,,,,1089,3.5,,,2541,17%,2973,2.5,7432,,,,2.2,6541,,3568,54.5%,,,,
23,פינות אוכל,DINING TABLE,,,,,,,STEEL-ARTS,SA,,,,,9,B4801/DINING TABLE,,SDTSA22,,SDTSA22,,,"12MM TEMPERED GLASS, IRON COATING ",DINING TABLE - SDTSA22,,,L2000D1000H760MM,0.27/MOQ:10PCS,,,,,,,,,,197,1.5,,,,,,,,295.5,3.5,,,690,17%,807,2.5,2017,,,,2.2,1775,,968,54.5%,,,,
24,פינות אוכל,SIDEBOARD,,,,,,,STEEL-ARTS,SA,,,,,9,K4808/SIDEBOARD,,SDTSA23,,SDTSA23,,,MDF WITH VENEER,SIDEBOARD - SDTSA23,,,L1000*D450*H1100,0.6/MOQ:10PCS,,,,,,,,,,181,1.5,,,,,,,,271.5,3.5,,,634,17%,741,2.5,1853,,,,2.2,1631,,889,54.5%,,,,
25,פינות אוכל,DINING TABLE,,,,,,,STEEL-ARTS,SA,,,,,10,B7811/DINING TABLE,S-SDTSA24,SDTSA24,,SDTSA24,,,"MARBLE, SOLID WOOD BASE",DINING TABLE - SDTSA24,,,2185*1080*750,MOQ:10PCS,,,,,,,,,,640,1.5,,,,,,,,960,3.5,,,2240,17%,2621,2.5,6552,,,,2.2,5766,,3145,54.5%,,,,
26,פינות אוכל,DINING CHAIR,,,,,,,STEEL-ARTS,SA,,,,,10,C7811A/DINING CHAIR,S-SDTSA24,SDTSA25,,SDTSA24,,,"PU, SOLID WOOD BASE",DINING CHAIR - SDTSA25,,,585*540*815,,,,,,,,,,,73,1.5,,,,,,,,109.5,3.5,,,256,17%,299,2.5,747,,,,2.2,658,,359,54.5%,,,,
27,פינות אוכל,DINING CHAIR,,,,,,,STEEL-ARTS,SA,,,,,10,C7811B/DINING CHAIR,S-SDTSA24,SDTSA26,,SDTSA24,,,"PU, SOLID WOOD BASE",DINING CHAIR - SDTSA26,,,535*540*815,,,,,,,,,,,69.5,1.5,,,,,,,,104.25,3.5,,,243,17%,285,2.5,712,,,,2.2,626,,342,54.5%,,,,
28,פינות אוכל,SIDEBOARD,,,,,,,STEEL-ARTS,SA,,,,,10,K4803/SIDEBOARD,,SDTSA28,,SDTSA28,,,MDF WITH VENEER,SIDEBOARD - SDTSA28,,,L1800D460H800MM,0.75/MOQ:10PCS,,,,,,,,,,223,1.5,,,,,,,,334.5,3.5,,,781,17%,913,2.5,2283,,,,2.2,2009,,1096,54.5%,,,,
29,פינות אוכל,DINING TABLE,,,,,,,STEEL-ARTS,SA,,,,,11,B4803/DINING TABLE,,SDTSA29,,SDTSA29,,,"MDF WITH VENEER, IRON COATING FRAME",DINING TABLE - SDTSA29,,,ø 1200H760MM,0.67/MOQ:10PCS,,,,,,,,,,151,1.5,,,,,,,,226.5,3.5,,,529,17%,618,2.5,1546,,,,2.2,1360,,742,54.5%,,,,
30,פינות אוכל,DINING TABLE,,,,,,,STEEL-ARTS,SA,,,,,11,B4802/DINING TABLE,S-SDTSA30,SDTSA30,,SDTSA30,,,"12MM TEMPERED GLASS, COATED IRON BASE",DINING TABLE - SDTSA30,,,ø 1200H760MM,0.67/MOQ:10PCS,,,,,,,,,,162,1.5,,,,,,,,243,3.5,,,567,17%,663,2.5,1658,,,,2.2,1459,,796,54.5%,,,,
31,פינות אוכל,DINING CHAIR,,,,,,,STEEL-ARTS,SA,,,,,11,C4802/DINING CHAIR,S-SDTSA30,SDTSA31,,SDTSA30,,,"PU, SOLID WOOD",DINING CHAIR - SDTSA31,,,L500D590H490/870MM,0.62/MOQ:50PCS,,,,,,,,,,69,1.5,,,,,,,,103.5,3.5,,,242,17%,283,2.5,706,,,,2.2,622,,339,54.5%,,,,
32,פינות אוכל,SIDEBOARD,,,,,,,STEEL-ARTS,SA,,,,,11,K4802/SIDEBOARD,S-SDTSA30,SDTSA32,,SDTSA30,,,"MDF WITH VENEER, COAT IRON FRAME",SIDEBOARD - SDTSA32,,,L1800D460H800MM,0.75/MOQ:10PCS,,,,,,,,,,276,1.5,,,,,,,,414,3.5,,,966,17%,1130,2.5,2826,,,,2.2,2486,,1356,54.5%,,,,
33,פינות אוכל,SIDEBOARD,,,,,,,STEEL-ARTS,SA,,,,,12,K4802/SIDEBOARD,,SDTSA33,,SDTSA33,,,"MDF WITH VENEER, COAT IRON FRAME",SIDEBOARD - SDTSA33,,,L1800D460H800MM,0.75/MOQ:10PCS,,,,,,,,,,219,1.5,,,,,,,,328.5,3.5,,,767,17%,897,2.5,2242,,,,2.2,1973,,1076,54.5%,,,,
34,פינות אוכל,SIDEBOARD,,,,,,,STEEL-ARTS,SA,,,,,12,DG4802/SIDEBOARD,,SDTSA34,,SDTSA34,,,MDF WITH VENEER,SIDEBOARD - SDTSA34,,,L1000*D450*H1100,0.6/MOQ:10PCS,,,,,,,,,,219,1.5,,,,,,,,328.5,3.5,,,767,17%,897,2.5,2242,,,,2.2,1973,,1076,54.5%,,,,
35,פינות אוכל,DRESSING TABLE,,,,,,,STEEL-ARTS,SA,,,,,13,Z4803/DRESSING TABLE,S-SDTSA35,SDTSA35,,SDTSA35,,,"VERNEER MDF, COATED IRON BASE",DRESSING TABLE - SDTSA35,,,L1600D500H760MM,0.34/MOQ:10PCS,,,,,,,,,,114,1.5,,,,,,,,171,3.5,,,399,17%,467,2.5,1167,,,,2.2,1027,,560,54.5%,,,,
36,פינות אוכל,MIRROR,,,,,,,STEEL-ARTS,SA,,,,,13,M4803/MIRROR,S-SDTSA35,SDTSA36,,SDTSA35,,,"MIRROR, MDF",MIRROR - SDTSA36,,,L1600H1000D60MM,0.07/MOQ:10PCS,,,,,,,,,,101,1.5,,,,,,,,151.5,3.5,,,354,17%,414,2.5,1034,,,,2.2,910,,496,54.5%,,,,
37,פינות אוכל,DRESSING TABLE,,,,,,,STEEL-ARTS,SA,,,,,13,Z4802/DRESSING TABLE,S-SDTSA37,SDTSA37,,SDTSA37,,,"VERNEER MDF, COATED IRON BASE",DRESSING TABLE - SDTSA37,,,L1600D500H760MM,0.34/MOQ:10PCS,,,,,,,,,,99,1.5,,,,,,,,148.5,3.5,,,347,17%,405,2.5,1014,,,,2.2,892,,486,54.5%,,,,
38,פינות אוכל,MIRROR,,,,,,,STEEL-ARTS,SA,,,,,13,M4802/MIRROR,S-SDTSA37,SDTSA38,,SDTSA37,,,"MIRROR, MDF",MIRROR - SDTSA38,,,L1600H1000D60MM,0.07/MOQ:10PCS,,,,,,,,,,101,1.5,,,,,,,,151.5,3.5,,,354,17%,414,2.5,1034,,,,2.2,910,,496,54.5%,,,,
39,פינות אוכל,DINING TABLE,,,,,,,STEEL-ARTS,SA,,,,,14,B5805/DINING TABLE,S-SDTSA39,SDTSA39,,SDTSA39,,,"TEMPERED GLASS, IRON COATING BASE",DINING TABLE - SDTSA39,,,L200D1000H760MM,0.59/MOQ10PCS,,,,,,,,,,843,1.5,,,,,,,,1264.5,3.5,,,2951,17%,3452,2.5,8630,,,,2.2,7595,,4143,54.5%,,,,
40,פינות אוכל,DINING CHAIR,,,,,,,STEEL-ARTS,SA,,,,,14,C5805/DINING CHAIR,S-SDTSA39,SDTSA40,,SDTSA39,,,PU,DINING CHAIR - SDTSA40,,,,,,,,,,,,,,88.5,1.5,,,,,,,,132.75,3.5,,,310,17%,362,2.5,906,,,,2.2,797,,435,54.5%,,,,
41,פינות אוכל,DINING TABLE,,,,,,,STEEL-ARTS,SA,,,,,14,B7810/DINING TABLE,S-SDTSA41,SDTSA41,,SDTSA41,,,"MDF VENEER, IRON COARING",DINING TABLE - SDTSA41,,,L200D1000H760MM,0.59/MOQ10PCS,,,,,,,,,,239,1.5,,,,,,,,358.5,3.5,,,837,17%,979,2.5,2447,,,,2.2,2153,,1174,54.5%,,,,
42,פינות אוכל,DINING CHAIR,,,,,,,STEEL-ARTS,SA,,,,,14,C4801/DINING CHAIR,S-SDTSA41,SDTSA42,,SDTSA41,,,"PU, IRON COATING",DINING CHAIR - SDTSA42,,,L500D590H490/870MM,0.36/MOQ:30PCS,,,,,,,,,,51,1.5,,,,,,,,76.5,3.5,,,179,17%,209,2.5,522,,,,2.2,459,,251,54.5%,,,,
43,פינות אוכל,MIRROR,,,,,,,STEEL-ARTS,SA,,,,,14,M7805/MIRROR,S-SDTSA41,SDTSA43,,SDTSA41,,,"MDF, MIRROR",MIRROR - SDTSA43,,,,,,,,,,,,,,113,1.5,,,,,,,,169.5,3.5,,,396,17%,463,2.5,1157,,,,2.2,1018,,555,54.5%,,,,
44,פינות אוכל,DINING TABLE,,,,,,,STEEL-ARTS,SA,,,,,15,B6805/DINING TABLE,S-SDTSA44,SDTSA44,,SDTSA44,,,"NATURAL MARBLE, IRON COATING BASE",DINING TABLE - SDTSA44,,,2000*1000*760MM,0.76,,,,,,,,,,555,1.5,,,,,,,,832.5,3.5,,,1943,17%,2273,2.5,5682,,,,2.2,5000,,2727,54.5%,,,,
45,פינות אוכל,DINING CHAIR,,,,,,,STEEL-ARTS,SA,,,,,15,C4801/DINING CHAIR,S-SDTSA44,SDTSA45,,SDTSA44,,,"PU, COAT IRON FRAME",DINING CHAIR - SDTSA45,,,L500D590H490/870MM,0.36/MOQ:50PCS,,,,,,,,,,48,1.5,,,,,,,,72,3.5,,,168,17%,197,2.5,491,,,,2.2,432,,236,54.5%,,,,
46,פינות אוכל,DINING TABLE,,,,,,,STEEL-ARTS,SA,,,,,15,B5802A/DINING TABLE,S-SDTSA48,SDTSA48,,SDTSA48,,,"L2000D1000H760MM, MDF WITH VENEER",DINING TABLE - SDTSA48,,,MDF WITH VENEER,0.76/MOQ:10 PCS,,,,,,,,,,217,1.5,,,,,,,,325.5,3.5,,,760,17%,889,2.5,2222,,,,2.2,1955,,1066,54.5%,,,,
47,פינות אוכל,DINING CHAIR,,,,,,,STEEL-ARTS,SA,,,,,15,C5802/DINING CHAIR,S-SDTSA48,SDTSA49,,SDTSA48,,,"PU, STAINLESS STEEL",DINING CHAIR - SDTSA49,,,L500D590H490/870MM,0.4/MOQ:30PCS,,,,,,,,,,64,1.5,,,,,,,,96,3.5,,,224,17%,262,2.5,655,,,,2.2,577,,314,54.5%,,,,
48,פינות אוכל,DINING TABLE,,,,,,,STEEL-ARTS,SA,,,,,16,B6806/DINING TABLE,S-SDTSA50,SDTSA50,,SDTSA50,,,"TEMPERED GLASS, COATED IRON BASE",DINING TABLE - SDTSA50,,,2000D1000H760MM,0.76/MOQ:10PCS,,,,,,,,,,209,1.5,,,,,,,,313.5,3.5,,,732,17%,856,2.5,2140,,,,2.2,1883,,1027,54.5%,,,,
49,פינות אוכל,DINNG CHAIR,,,,,,,STEEL-ARTS,SA,,,,,16,C4802/DINNG CHAIR,S-SDTSA50,SDTSA51,,SDTSA50,,,"PU, SOLID WOOD",DINNG CHAIR - SDTSA51,,,L500D590H490/870MM,0.62/MOQ:50PCS,,,,,,,,,,69,1.5,,,,,,,,103.5,3.5,,,242,17%,283,2.5,706,,,,2.2,622,,339,54.5%,,,,
50,פינות אוכל,DINING TABLE,,,,,,,STEEL-ARTS,SA,,,,,16,B6807/DINING TABLE,,SDTSA52,,SDTSA52,,,"TEMPERED GLASS, SOLID WOOD BASE",DINING TABLE - SDTSA52,,,2000D1000H760MM,0.76/MOQ:10PCS,,,,,,,,,,338,1.5,,,,,,,,507,3.5,,,1183,17%,1384,2.5,3460,,,,2.2,3045,,1661,54.5%,,,,
51,פינות אוכל,SIDEBOARD,,,,,,,STEEL-ARTS,SA,,,,,17,K4700/SIDEBOARD,,SDTSA53,,SDTSA53,,,"MDF IN WOOD VENEER, COAT IRON FRAME",SIDEBOARD - SDTSA53,,,L1800D400H780MM,0.75/MOQ:30PCS,,,,,,,,,,364,1.5,,,,,,,,546,3.5,,,1274,17%,1491,2.5,3726,,,,2.2,3279,,1789,54.5%,,,,
52,פינות אוכל,DINING TABLE,,,,,,,STEEL-ARTS,SA,,,,,17,B7812/DINING TABLE,S-SDTSA54,SDTSA54,,SDTSA54,,,"MDF IN VENEER, IRON COATING BASE",DINING TABLE - SDTSA54,,,L2000D1000H780MM,,,,,,,,,,,175,1.5,,,,,,,,262.5,3.5,,,613,17%,717,2.5,1792,,,,2.2,1577,,860,54.5%,,,,
53,פינות אוכל,DINING CHAIR,,,,,,,STEEL-ARTS,SA,,,,,17,C7812/DINING CHAIR,S-SDTSA54,SDTSA55,,SDTSA54,,,"PU, SOLID WOOD BASE",DINING CHAIR - SDTSA55,,,450*550*850,,,,,,,,,,,69,1.5,,,,,,,,103.5,3.5,,,242,17%,283,2.5,706,,,,2.2,622,,339,54.5%,,,,
54,פינות אוכל,SIDEBOARD,,,,,,,STEEL-ARTS,SA,,,,,18,K8403/SIDEBOARD,,SDTSA56,,SDTSA56,,,"MDF WOOD VENEER, IRON COATING BASE",SIDEBOARD - SDTSA56,,,L1800D450H800MM,0.76/ASSEMBLED,,,,,,,,,,219,1.5,,,,,,,,328.5,3.5,,,767,17%,897,2.5,2242,,,,2.2,1973,,1076,54.5%,,,,
55,פינות אוכל,DINING TABLE,,,,,,,STEEL-ARTS,SA,,,,,19,B7801/DINING TABLE,,SDTSA57,,SDTSA57,,,"TEMPERED GLASS, IRON COATING BASE",DINING TABLE - SDTSA57,,,2400*1150*750MM,0.29/MOQ:30PCS,,,,,,,,,,351,1.5,,,,,,,,526.5,3.5,,,1229,17%,1437,2.5,3593,,,,2.2,3162,,1725,54.5%,,,,
56,פינות אוכל,DINING TABLE,,,,,,,STEEL-ARTS,SA,,,,,19,B4805/DINING TABLE,S-SDTSA58,SDTSA58,,SDTSA58,,,"10MM TEMPERED GLASS, IRON COATING ",DINING TABLE - SDTSA58,,,L2000L1000H780MM,0.29/MOQ:30PCS,,,,,,,,,,250,1.5,,,,,,,,375,3.5,,,875,17%,1024,2.5,2559,,,,2.2,2252,,1229,54.5%,,,,
